time,H
0.22033898305084731,0.9903323262839879
0.44067796610169485,0.9782477341389728
0.7627118644067796,0.9299093655589123
0.6101694915254234,0.9540785498489426
0.9152542372881356,0.9033232628398792
1.0508474576271187,0.874320241691843
1.1864406779661019,0.8501510574018127
1.3559322033898307,0.8163141993957704
1.5084745762711862,0.7848942598187312
1.6779661016949154,0.7486404833836858
1.8813559322033895,0.7027190332326285
2.084745762711864,0.651963746223565
2.305084745762712,0.6060422960725076
2.5423728813559325,0.5552870090634441
3.0000000000000000,0.4607843137254902